"","mass_density","ratio_oxygen_by_transition_metal_atom","ratio_atoms_cell_by_cell_vol","electronic_energy_band_gap","energy_atom","point_group","c.a_ratio","AGL_bulk_mod","Thermal_Conductivity"
"252",4.98541,4,0.09827205,4.04,-8.65,12,1,239.681,"High"
"253",4.09225,2,0.092532618,2.8179,-8.03853,8,1.211715549,217.216,"High"
"254",4.48954,4,0.088495575,4.47,-8.73,16,1,216.318,"High"
"255",6.8307,2,0.091476941,0,-5.51893,16,0.685459629,216.937,"High"
"256",3.78281,4,0.081878288,2.0747,-7.80516,8,1.226663865,169.826,"High"
"257",6.51022,3,0.070453892,0,-7.90658,48,1,161.018,"High"
"258",5.90464,2,0.083380235,0,-7.92667,16,0.685631691,218.111,"High"
"259",4.88243,3,0.080108306,2.3866,-7.47625,16,1.002457955,159.72,"High"
"260",6.45335,3,0.078109256,1.7706,-6.76521,48,1,182.054,"High"
"261",11.1626,2,0.092424289,0,-7.93832,8,1.229031051,297.017,"High"
"262",7.86753,3,0.078158339,2.181,-7.02401,48,1,162.783,"High"
"263",6.77116,1.5,0.074145473,0,-8.41735,16,1.961882999,196.584,"High"
"264",8.31948,3,0.080078156,1.4018,-6.2742,8,1.436041105,166.366,"High"
"265",3.50882,4,0.090607067,4.8968,-7.97866,16,1,193.581,"High"
"266",4.47347,3,0.074831703,2.047,-7.46912,4,0.985377968,163.052,"High"
"267",5.64874,3,0.07926229,1.7288,-6.9263,48,1,163.746,"High"
"268",3.63372,2,0.082164318,2.5528,-8.05743,16,1,192.444,"High"
"269",5.11069,1,0.086773166,2.6192,-7.81368,48,1,138.378,"High"
"270",6.19541,3,0.064369049,0.7586,-8.48908,24,0.514181498,199.588,"High"
"271",10.7534,2,0.089035963,0,-7.85571,16,0.557481866,274.144,"High"
"272",6.97981,3,0.08247069,0,-7.45922,48,1,196.903,"High"
"273",6.40838,3,0.079489234,0.5431,-7.45826,48,1,162.396,"High"
"274",5.95313,3,0.064817215,3.04,-8.29,48,1,142.409,"High"
"275",9.65966,2,0.081952659,0,-9.28412,16,0.577105116,244.013,"High"
"276",3.84548,3,0.085153489,2.7874,-7.52306,16,1.011755755,167.779,"High"
"277",6.58174,3,0.079957271,0.7569,-9.07705,48,1,161.556,"High"
"278",5.09365,3,0.067613252,3.22,-8.21,48,1,146.019,"High"
"279",7.34344,3,0.070392792,3.73,-8.27,48,1,157.079,"High"
"280",4.12971,3,0.069348128,3.21,-8.15,48,1,149.232,"High"
"281",6.67335,3,0.069334905,0.739,-8.50881,16,0.73515668,212.967,"High"
"282",3.4134,2,0.077182827,2.2613,-7.86991,16,1,168.632,"High"
"283",5.72086,2,0.082747093,0,-8.70602,16,0.583606084,231.909,"High"
"284",3.75947,4,0.09242856,2.3387,-7.59243,8,1.331204589,191.553,"High"
"285",5.78831,3,0.074729368,2.1335,-7.45659,48,1,152.929,"High"
"286",6.48151,3,0.081692405,1.7885,-8.08312,48,1,171.651,"High"
"287",7.71043,4,0.108931473,3.6319,-8.82655,16,1,285.595,"High"
"288",6.55803,3,0.078379857,2.5031,-7.94003,48,1,184.269,"High"
"289",5.56259,2,0.101629502,1.6572,-7.48401,24,3.595829242,202.54,"High"
"290",6.73116,3,0.080449228,2.5252,-7.95074,16,0.717511932,187.882,"High"
"291",4.28234,1,0.084615612,0,-7.77396,48,1,145.005,"High"
"292",4.42281,3,0.081255891,1.8633,-7.49548,16,0.719700711,177.94,"High"
