mass_density,ratio_oxygen_by_transition_metal_atom,Bravias_lattice.BCT,Bravias_lattice.CUB,Bravias_lattice.FCC,Bravias_lattice.HEX,Bravias_lattice.MCL,Bravias_lattice.MCLC,Bravias_lattice.ORC,Bravias_lattice.ORCC,Bravias_lattice.RHL,Bravias_lattice.TET,ratio_atoms_cell_by_cell_vol,electronic_energy_band_gap,energy_atom,point_group,c_by_a_ratio.,AGL_bulk_mod,AGL_thermal_conductivity
6.45258,3,0,1,0,0,0,0,0,0,0,0,0.080338321,0,-7.86657,48,1,158.135,9.48942
6.93722,2,0,0,0,0,0,0,0,0,0,1,0.072783779,0,-6.49163,16,0.847954037,131.839,8.62143
6.08968,3,0,1,0,0,0,0,0,0,0,0,0.078092665,0,-7.98439,48,1,158.455,3.68015
5.53298,1,0,0,0,1,0,0,0,0,0,0,0.048732468,2.9693,-7.73897,12,1.711109055,100.579,7.93424
6.21099,1,1,0,0,0,0,0,0,0,0,0,0.042755507,1.9022,-7.37628,16,1,86.6415,5.815
4.59725,1.5,0,0,0,1,0,0,0,0,0,0,0.04248702,1.6,-7.90985,6,0.520701764,88.267,3.83825
4.52769,4,1,0,0,0,0,0,0,0,0,0,0.069950452,5.3868,-7.95741,16,1,154.416,4.44492
3.84544,4,0,0,0,1,0,0,0,0,0,0,0.059410058,5.2512,-7.97951,12,0.891187386,127.694,5.40539
6.66341,2.33,0,0,0,0,0,0,0,1,0,0,0.062199956,3.6497,-8.62557,8,0.580622438,148.528,6.99383
7.14268,2.5,0,0,0,0,0,0,0,0,0,1,0.067844651,1.8389,-6.5538,8,0.839451388,139.709,2.44396
5.78322,3,0,0,0,0,0,0,1,0,0,0,0.063136495,4.5627,-8.60307,4,1.445333818,132.302,3.70853
6.30751,3.5,0,0,1,0,0,0,0,0,0,0,0.066619831,2.0853,-7.06209,48,1,141.134,3.44149
5.40576,3.5,0,0,1,0,0,0,0,0,0,0,0.07374211,3.2676,-8.17553,48,1,166.272,5.56521
5.78358,3.5,0,0,1,0,0,0,0,0,0,0,0.066950904,3.7972,-8.96014,48,1,160.102,5.35167
5.88827,1,0,0,0,0,0,0,0,1,0,0,0.045541111,1.4444,-7.21432,4,1.232472113,89.4966,3.2937
6.1641,1.5,0,0,0,0,0,1,0,0,0,0,0.056967506,3.4389,-8.12499,4,1.210039752,119.82,2.90735
5.56259,2,0,0,0,1,0,0,0,0,0,0,0.101629502,1.6572,-7.48401,24,3.595829242,202.54,17.7999
3.50435,2,0,0,1,0,0,0,0,0,0,0,0.088597502,0,-7.38849,48,1,164.763,11.1979
3.91664,2,0,0,1,0,0,0,0,0,0,0,0.095535099,0,-7.41274,48,1,173.613,9.36389
4.01866,2,1,0,0,0,0,0,0,0,0,0,0.103116702,1.9902,-6.60912,16,1,134.591,5.61154
5.94794,2,0,0,1,0,0,0,0,0,0,0,0.101009463,2.3816,-5.39371,48,1,171.65,3.72076
7.50559,3,0,0,0,0,0,0,0,0,0,1,0.084363268,3.0629,-8.64364,16,1.944625628,221.575,8.94536
2.82237,3,0,0,0,0,0,0,0,1,0,0,0.068955055,2.7076,-7.21722,4,0.916796376,126.234,4.55773
2.82789,3,0,0,0,0,0,0,0,1,0,0,0.069089879,0,-6.9524,8,0.916087049,118.691,2.32607
6.02846,2,0,0,1,0,0,0,0,0,0,0,0.086405352,2.1913,-5.7353,48,1,182.843,3.77139
5.50567,1.83,0,0,0,1,0,0,0,0,0,0,0.08223718,0.489,-7.98492,12,1.236080788,199.139,6.82779
4.60609,2,0,0,1,0,0,0,0,0,0,0,0.083947952,1.5203,-5.96357,48,1,134.45,4.64054
3.58296,1.33,0,0,1,0,0,0,0,0,0,0,0.098446514,2.2626,-6.255,48,1,142.369,9.92072
5.93715,1.33,0,0,1,0,0,0,0,0,0,0,0.10023187,1.8891,-5.42017,48,1,166.034,5.80313
5.11069,1,0,0,1,0,0,0,0,0,0,0,0.086773166,2.6192,-7.81368,48,1,138.378,13.3183
5.38267,3,0,1,0,0,0,0,0,0,0,0,0.08505412,0,-6.81705,48,1,114.794,6.37594
4.00704,2,0,0,0,0,0,0,1,0,0,0,0.087807394,3.2672,-6.33757,8,2.193509674,113.56,7.76154
8.09908,1.5,0,0,0,1,0,0,0,0,0,0,0.086370579,0,-7.66785,24,0.623297238,146.946,7.0869
