"","DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","y_scaled"
"91",0.209739437449798,0.0603457778520028,0.0448165117425103,0.206512307607659,-0.289902889943716,4.44125
"92",0.0031514142726049,0.21385949429974,0.0170438107559784,0.0146397198956321,0.0736139047401596,3.41067
"93",0.0746669918969329,0.0868225428132275,0.0896202414944711,-0.156008980943832,0.0704276623262694,6.78386
"94",0.0529925992309931,0.23441956139765,0.0500025616395625,0.264746831268454,0.0315434736735092,4.85589
"95",-0.326984769689635,-0.152914024303003,0.0230166132283391,-0.152043842932354,0.0316130803945132,3.5876
"96",0.356810302990268,-0.0431044192247216,0.0126277456360556,0.0410674165462823,-0.0268043679828802,4.29365
"97",-0.217093384566347,-0.275686797005258,0.0644034636348594,-0.408878927666146,0.0338916643770903,3.85485
"98",-0.192142579746371,-0.224252894784422,0.0128427153463313,-0.2468338516558,0.048940164585867,16.9784
"99",-0.39240183146926,-0.12094368892769,0.295268322148076,-0.31096705337675,0.24069200726019,18.8664
"100",-0.197907525618951,0.23044503161246,0.0123218916370992,-0.229403118069095,0.366215212893386,4.84194
"101",0.264125199034773,-0.0459202349258678,0.0808020848783304,-0.141237798824584,-0.0808295766297782,5.86044
"102",0.263716692333091,-0.0413273449194633,0.0772748549362088,-0.135560903185726,-0.0811490461420217,5.7556
"103",-0.164372475790613,0.233639813506216,-0.0340442761108262,-0.199859666374917,0.376980612497665,8.42349
"104",0.074308725848681,0.096573163605743,0.269187686904706,0.102173589884536,0.0566376731774142,9.66821
"105",0.399957191824778,-0.0566723071591795,0.134007516862716,-0.0477897423482987,0.0679644447371803,16.0695
"106",0.263533882246491,-0.0330134084289515,0.0711178838668892,-0.125145201606767,-0.0807874903358885,6.18622
"107",0.408794582803881,-0.02878080556419,0.0825069397888542,-0.00193088161350441,0.00938270913218653,11.8175
"108",-0.298357731479669,-0.152676691620066,0.00186775332554068,-0.163457165052679,0.0115511748758418,2.51445
"109",0.266071361576237,-0.035818966057354,0.0302288859807091,0.281688580633057,0.0395628334581842,6.52669
"110",-0.177142217729928,-0.239008201101014,0.00345980645697752,-0.0326705495503656,0.149286775619447,6.62558
"111",-0.215735846872597,-0.183852062443851,0.0190342675496417,-0.0507325450521718,0.136004733633882,4.58145
"112",0.102387608369962,0.0766944726765446,0.112956046337873,-0.110346895104464,0.132188903613777,6.43882
"113",0.0928887879609948,0.12227568432004,0.106322810433976,-0.0469996071973908,0.123852548841866,8.187
"114",-0.0640974398502352,0.0403513003246709,0.292204079028997,-0.0674782869790373,0.148069585321015,8.31568
"115",0.264597758193831,-0.0628528715356382,0.0213806927042264,0.25738872449052,0.00812994867952543,6.59846
"116",-0.178491095919291,-0.264494001848225,-0.00577081146535408,-0.0586862241463122,0.118571848754805,6.61192
"117",0.244705828271115,0.181607639725091,-0.126737408251287,0.321839439900388,-0.265389472919118,1.45598
"118",-0.272644034294862,-0.0777927586931162,-0.169667977570786,-0.0342542680224638,-0.0777663629749463,1.23159
"119",-0.154068214673402,0.307139217425906,-0.214117982754639,-0.0906647117063715,0.230889745921026,23.2336
"120",-0.0174687964112366,0.304125572969396,-0.219147996484964,0.415927728059866,-0.24666726313695,0.488223
"121",-0.294011856964945,0.262579203336053,0.0768677697014126,-0.356694107099175,0.350918343688626,4.52881
"122",-0.285854582999996,0.300551734776595,-0.00561374198274378,-0.27732155945522,0.231224200624514,2.52247
"123",0.0276174766594318,0.311943515694068,0.174991854946889,0.15212045061211,0.0270002410597612,1.43012
"124",0.157136223056099,0.179759813649877,0.0974852995018329,0.259842270149083,-0.173794807117082,5.34777
"125",-0.163563412946734,0.254728766721738,-0.0458623645927603,-0.124815458428071,0.314066397130886,4.74294
"126",0.220505528663786,0.13710739653293,0.0697777439444373,0.227993290291855,-0.207109932064923,4.29353
"127",-0.117597836567047,0.249927900803078,-0.124367866483862,-0.0381893911949787,0.222070638894803,3.18158
"128",0.200517526779177,0.135047988257989,0.0997216364263708,0.25819611068326,-0.207028031360504,3.63613
"129",-0.47639242724153,0.000812999222074007,0.0276918943855393,-0.0613711374391255,-0.00534799071538661,0.253177
"130",-0.373316799360468,-0.0869536046618979,-0.0297130209574801,-0.0883357222162873,-0.015237699829312,1.60525
"131",-0.0808738460265752,0.207410640509467,0.120438453455329,0.191457972464966,-0.0743695345445314,0.710014
"132",0.472877688355697,-0.11688981942825,0.00703295600084419,0.04180489739811,-0.103449449546122,6.29261
"133",0.393237608991546,-0.142772019687311,-0.0534360245333712,0.0135725868484025,-0.0979165565444842,5.50685
"134",-0.0410082643844893,-0.327635598150334,-0.136784100100648,-0.213268014359263,-0.0591212754331372,5.89607
"135",-0.125703868890782,-0.304130791670608,-0.0776867141887334,-0.309200320820675,-0.0514377358406437,4.16156
"136",-0.0764846487292588,-0.325093249806759,-0.0531990445317996,-0.246366297672361,0.0311944783275911,6.58845
