"","mass_density","ratio_oxygen_by_transition_metal_atom","ratio_atoms_cell_by_cell_vol","electronic_energy_band_gap","energy_atom","point_group","c.a_ratio","AGL_bulk_mod","Debye_temp","AGL_Gruneisen_parameter","AGL_thermal_conductivity"
"124",4.642,2,0.087778697,3.2627,-8.02361,48,1,165.821,224.053,2.07022,4.58145
"125",4.73595,0.33,0.035870579,0,-4.27255,48,1,41.3158,167.254,2.06356,4.58204
"126",7.58313,3,0.072277523,1.1112,-5.7413,8,1.2909094,130.719,194.74,2.05474,4.5882
"127",6.3481,3,0.086407189,0.8785,-5.91874,16,1.985710642,180.043,217.877,2.40259,4.63346
"128",4.60609,2,0.083947952,1.5203,-5.96357,48,1,134.45,220.319,2.05971,4.64054
"129",5.22444,3.5,0.086589969,0.8556,-8.10328,48,1,162.913,223.766,2.3227,4.7413
"130",4.33637,2,0.074345988,2.6414,-6.73244,24,3.486913658,128.82,225.5,2.02606,4.74294
"131",6.90904,2,0.082834028,0.1517,-5.85956,24,1,169.617,219.705,2.40911,4.7526
"132",6.01864,3.5,0.081044442,0.5591,-7.68351,48,1,185.368,195.215,2.13241,4.76089
"133",5.32897,2,0.087004563,2.5906,-6.40901,24,3.758609209,152.151,236,2.13391,4.84194
"134",5.88515,1.83,0.078911962,0.4695,-8.54476,12,1.257746184,193.73,191.201,2.03629,4.85083
"135",4.9955,1,0.080295165,1.7992,-5.84584,12,1.591391631,122.06,238.125,1.97713,4.85589
"136",4.6491,4,0.065658445,2.7237,-8.2441,16,1,142.546,197.429,1.97185,4.8759
"137",6.22351,3,0.07464172,1.4565,-5.67192,12,0.923295162,151.986,222.106,2.34658,4.88431
"138",5.99856,3,0.08670846,2.6187,-6.36042,4,1.409044338,180.303,203.359,2.08799,4.97296
